"Time Range: 14:33:14 to 14:33:52, Duration 38.0 
 Start Row 3971, End Row 4123 
 Start Time 992.5, End Time 1030.5"
kurtosis Values:
-0.5117440533835862,0.548318401169591,0.09329081381353932,-0.3736909140483453,1.4296387959165644,0.024471799642569625,3.978284005805408,4.4814415590073615,-0.63967823678635,-0.9685788426906523,3.932723396283018,3.158683171532923,-0.057412493100621464,0.4169083302380989,0.5374720385149048,0.007685609179274966,0.5104115555939082,-0.7672142871175454,1.0590419446119785,-0.6032502036956631,-0.4607009416413077,-0.4942289528132018,2.1189080787176957,-0.8413122583267616,-0.2038714695068955,-0.38787518799784326,0.2812983827980369,0.13715588044210847,0.2783829673735685,0.2980668068686785,0.055249072324736304,1.0587304753190656,-0.18366639958880926,-0.03234117619645982,-0.008404767892735254,-0.15957412172188956,0.5312556363474479,-0.2948970842454335,0.13694083421694536,-0.21065815615210282
"Size of std_values: (1, 40)"

"Time Range: 14:33:52 to 14:34:39, Duration 47.0 
 Start Row 4124, End Row 4312 
 Start Time 1030.75, End Time 1077.75"
kurtosis Values:
0.013377961559780438,0.8951163716701576,0.3998400324327558,-0.25385468237386544,0.3003652983561125,0.5199952366304732,1.0213169316564539,0.6240859951168196,0.18330033776462962,-0.23552431520577422,-0.3524465314179839,-0.35415326843206607,-0.5045996760167131,-1.1830897719152915,0.01591229627958679,-0.19924668089550623,-0.07036936819322515,-0.5101245991001697,0.3305835512204309,-0.3466746626107797,-0.4842679479120884,-0.49439854253931603,0.739361566891716,-0.31505770132220157,-0.6060074133778839,-0.7052976630040337,-0.6722176723276627,-0.42437139997535356,-0.3569901362779233,-0.6935013877810543,0.1766713717470192,1.676105875918532,-0.7093329859248212,-0.8349520869083857,-0.38168091580644203,-0.5240167733687859,-0.14063917718970398,-0.39524200816453403,-0.6000645690734432,-0.5563337113797093
"Size of std_values: (1, 40)"

"Time Range: 14:34:39 to 14:35:13, Duration 34.0 
 Start Row 4313, End Row 4449 
 Start Time 1078.0, End Time 1112.0"
kurtosis Values:
0.9811098249065959,0.8626048502337653,-0.5539621916847728,-0.7344932457717825,-0.05101172332182502,0.10674315649580057,12.239995293543426,13.462937655216514,-1.3772540408077283,-0.5419322682978609,12.113877621294009,12.747723755350595,-1.1011305495655423,-1.215995441742858,1.1450618815840965,-0.6371766064010211,-1.2434384104521532,-0.6502728878231543,0.6566927714824873,-0.9302954556480318,-0.00035359157041847666,-0.11313756825826449,0.2706978135232241,-0.9774270388612996,0.7619203108209573,-0.8339300647841141,-0.22750651444661152,-0.38608685744700955,-0.7379198212055051,-1.1601871827485122,3.260947062632839,0.06884916496184479,0.41514953944880517,0.0626422849071373,-0.14523373499073955,-0.49769854806345615,-0.738034692395988,-0.5073650359288249,0.8674907974618002,-0.4671258613702305
"Size of std_values: (1, 40)"

"Time Range: 14:35:13 to 14:35:40, Duration 27.0 
 Start Row 4450, End Row 4558 
 Start Time 1112.25, End Time 1139.25"
kurtosis Values:
0.6724213091679312,0.991393556948013,1.2849160629542817,-0.06577341330771969,3.4176006011082105,-0.055139756623262315,1.9106747071912977,0.1535164939948337,-0.4765332080834277,-0.1928847596760317,-0.7622626100465482,-0.01773850252011311,0.08928632383138169,-0.9091044528229717,0.5555441676866657,-0.3608552812604313,-0.8978711158579049,-0.3211301812209162,-0.18430569691156284,-1.1622834123549366,-0.4800444846097198,-0.5584264232107503,-0.7959912528646198,-0.30572484354734186,-0.37334370571999775,-0.830375389069459,0.38349116574215625,0.06670159706982703,-0.23756397444322097,0.04519449227530137,0.5135480035822857,-0.607962389680528,-0.7511931280329414,-0.7266677824550207,0.26867493391411656,-0.5002640168834862,-0.2193618620621849,-0.45453910636191,0.028696091076902963,-0.25488344167403376
"Size of std_values: (1, 40)"

"Time Range: 14:35:40 to 14:36:21, Duration 41.0 
 Start Row 4559, End Row 4723 
 Start Time 1139.5, End Time 1180.5"
kurtosis Values:
-0.3581298325641056,0.850400430807059,-0.22871945747101474,-0.8807427467731284,1.7471308826310574,-0.5303352702139716,6.5416056872586665,33.49488528252363,-1.336926860447313,-0.7094213881870925,0.338559456947106,1.6205689850115386,2.5318219642408106,6.19933111491067,-0.6186400789904871,0.13108691759796987,0.08259994412178129,-0.9448077040200591,-0.5324351419065247,0.5376397230045376,-0.28441523819146797,-0.3407247669836564,2.004949455310146,-1.1032018779187198,-0.12074727407634134,-0.9297835613827328,-0.27567173230157893,-1.0110991875184558,-0.7363109862146557,-0.9643768631119269,0.6407049693080911,-0.3925572905428609,-0.48069535248982964,-0.7322037134622832,-0.3106699593901108,-1.0521381194936656,-0.5133718239446261,-0.6509892772941774,-0.6515401783295243,-0.8278605099938163
"Size of std_values: (1, 40)"

"Time Range: 14:36:21 to 14:37:21, Duration 60.0 
 Start Row 4724, End Row 4964 
 Start Time 1180.75, End Time 1240.75"
kurtosis Values:
0.02033866153881192,0.1865634903025417,-0.10677258154056979,-0.056241659774411534,-0.3690653148357823,-0.18888014464284497,-0.36572549905851126,0.7803071677646893,-0.37217527244169535,1.148284781950438,1.2235045392413806,3.1695137121689285,0.7675664746036528,3.5336799857013794,-0.056156400242030724,-0.22056634643574746,-0.3859657115868842,-0.42134020990829013,0.03745154943781204,-0.13580467268492713,-0.4186336898074208,-0.3762035516026869,-0.076600285825287,-0.28502550627650924,-0.23633108192814456,-0.18520967173327518,0.08101088312469606,0.9806743712566357,0.18316285236001084,-0.11862547969075177,0.5218142699148824,0.17277063253877678,1.17316619771535,-0.010774390447221727,-0.5792229927922383,0.04048566649977259,0.3236789993760003,0.5116308992784271,0.4329950384975949,0.7134838620586645
"Size of std_values: (1, 40)"

"Time Range: 14:37:21 to 14:38:07, Duration 46.0 
 Start Row 4965, End Row 5149 
 Start Time 1241.0, End Time 1287.0"
kurtosis Values:
