"Time Range: 11:27:41 to 11:28:19, Duration 38.0 
 Start Row 3020, End Row 3172 
 Start Time 754.75, End Time 792.75"
kurtosis Values:
-0.41906807005555047,-0.3867438291583558,-0.43874180441039856,-0.41642396846962093,-0.3951582343879183,-0.35673101343792046,-0.7911871367310126,-0.8140162557449022,-0.24480338372047283,0.0961952592524975,-0.8499639664248404,-1.0225466228032745,-0.27539709747155827,0.10484367074533552,-0.03011233397665869,1.5344370964217795,-0.5644778761352951,0.17004375826406326,-0.44378553058140513,0.20431124933482625,-1.3750572022144083,-0.9612917479592538,-0.32195072554298054,0.8983464013072786,-0.9651063678620146,-0.1342166373667748,1.5404892212379702,0.390434403020286,3.5301859853588065,4.560025098786681,-0.5096512135429592,-0.6580113176740148,2.5298650215804575,1.3974901350883995,0.6233499999743941,0.4656414373795572,-0.19286790300285572,-0.5577230707113747,-0.018338015505342753,-0.5847843242418316
"Size of std_values: (1, 40)"

"Time Range: 11:28:19 to 11:28:47, Duration 28.0 
 Start Row 3173, End Row 3285 
 Start Time 793.0, End Time 821.0"
kurtosis Values:
-0.33946725678488043,-0.30212749225363256,-0.39469750681611915,-0.4574506917350605,-0.38504320652129564,-0.34471790190025065,-0.6457741125494003,-0.6563335828463179,-0.7161941317868665,0.25640078523133836,-0.8522942386762442,-0.9173973399344,-0.4316351699333558,-0.17153672488349958,-0.41364589094965787,0.3531887330786443,-0.8112359878322808,0.1275247661719452,-0.1263283906407917,-0.12329510991577086,-1.4377883555528475,-0.6700423717043069,-0.6019800626432481,-0.5271855506997376,-0.7024018497216051,-0.8521077832792914,0.9084262293165799,0.055125943864730687,0.08644226921165155,0.150691381025982,-0.6241884489600271,-0.1837090386977418,-1.0684460130149362,-0.8181957334202776,1.4805767419849953,-0.31281458163301146,-0.5265767859949282,-0.5959309218639683,-0.5077256736006852,-0.0777721900774564
"Size of std_values: (1, 40)"

"Time Range: 11:28:47 to 11:29:18, Duration 31.0 
 Start Row 3286, End Row 3410 
 Start Time 821.25, End Time 852.25"
kurtosis Values:
-0.27811914344058186,-0.34491242273890954,2.900240474047104,5.871404668462574,-0.22371312195715065,-0.1906335483602941,-0.5590953875201823,-0.5629455095154547,-0.26116107465416416,0.7076180547692439,-0.8578793010934858,-1.0025872810876701,-1.1591217605104713,2.095218407068023,0.964242487391417,-0.10115868032314035,2.944860984257339,2.052685140679249,1.8091099153345773,-0.34754546319842516,-1.5833969623422663,-0.824485064398421,0.14392244324410264,-0.6432760959491528,-0.8315880943062242,0.16327984315523114,0.8192169510911311,0.5737301568951576,0.4406204591259013,0.8005422330587217,3.1197658455087884,4.94479334327372,-1.013373408740474,-0.053262255069820075,0.01253851500245462,2.0063309176096986,0.116947173055026,0.31677015327752756,1.406885169660998,-0.3460820482713989
"Size of std_values: (1, 40)"

"Time Range: 11:29:18 to 11:29:40, Duration 22.0 
 Start Row 3411, End Row 3499 
 Start Time 852.5, End Time 874.5"
kurtosis Values:
-0.1099450991808184,-0.12510036790520518,-0.20559435269913218,0.3873574690448298,-0.19859700920053847,-0.1626204986544484,-0.6058378031861684,-0.635081406058335,-0.8346731035136843,-1.0346435645773684,-0.5161331083586269,-0.9416434802103977,0.9948289492087019,2.038644167876817,1.0570204430722612,1.2891840872667588,0.7831649851052043,1.2528824602756021,0.5204814894432737,0.1202413472424948,-1.492886627134012,-0.8321208088073009,-0.42044476521319973,-1.1529198904763218,0.43752877894743536,3.0017339867325905,0.00727602554366058,-0.2895738055836663,-0.4258949915788901,-0.509428155179596,1.340075683110637,1.0104212758098976,-0.16142349073781936,-0.5063759156324621,0.28775306449312366,-0.5230912490806907,-0.38948257822192467,-1.1451786042599077,-0.4973020825880621,0.43115591311143175
"Size of std_values: (1, 40)"

"Time Range: 11:29:40 to 11:30:27, Duration 47.0 
 Start Row 3500, End Row 3688 
 Start Time 874.75, End Time 921.75"
kurtosis Values:
-0.1925837166280031,-0.2378840492894101,1.6039930626503427,1.6831747164671338,-0.4089572884616426,-0.38171199333724193,-0.7936724755953914,-0.8005851188942077,-0.13747131124940282,-0.1761562076653438,-0.8449300546429841,-0.9896444645926996,0.9129583527462652,6.735851877117575,0.3924110742393254,0.6973326198328933,0.17810120705805854,2.5850578705595355,1.0321495756485843,-0.3522465984916856,-1.2509070253119647,-0.9558224839289289,0.7758896154323329,-1.1826723475057186,-0.055256374576003076,1.900336695679063,3.531790893802742,2.67059910070555,0.03040800531583887,-0.1535824909450958,0.4046269184992308,2.177377021166593,5.6995168151989954,4.8909617149562346,0.8794203474354876,-0.19588640659745282,1.3789907039614153,0.9126024830790018,0.32872639184774854,-0.009982501425683132
"Size of std_values: (1, 40)"

"Time Range: 11:30:27 to 11:30:52, Duration 25.0 
 Start Row 3689, End Row 3789 
 Start Time 922.0, End Time 947.0"
kurtosis Values:
-0.33869403660104336,-0.28345503247116666,0.7165414669162362,-0.911656377979464,-0.40064615945270443,-0.37944991536843187,-0.5130064226996311,-0.528860739047595,0.13386574296568687,0.2789748187761423,-0.8322017226009817,-0.821947143491955,-0.844459166779008,-0.2605111547587393,0.356932115422977,-0.0018432356320889909,0.13572770353582309,0.7873963527591825,1.601466977922306,0.3721384197221167,-1.5239737127376474,-0.6942810647906303,0.49013667757372614,0.5951167568672107,-0.7195454325090309,-0.5309325161236544,-0.4441168069945167,-0.4805475920393203,0.5040930322116313,1.3077742711197669,0.8146573194650415,4.915225823794551,0.28433705927013175,0.24125048981159258,1.7175876458175487,3.4536824017525536,0.2194637768676273,-0.5578690991821706,-0.2904762763558044,0.4973533824726344
"Size of std_values: (1, 40)"

"Time Range: 11:30:52 to 11:31:23, Duration 31.0 
 Start Row 3790, End Row 3914 
 Start Time 947.25, End Time 978.25"
kurtosis Values:
-0.5298633812177713,-0.5350634001769161,7.443534878331459,5.641353664022393,-0.36254552033833454,-0.3962493561994198,-0.6071899829308087,-0.6111083218249611,-0.11604536131304188,-0.23130544374134443,-0.6929648630858178,-0.915080449051672,0.37025261048547353,1.185406370203471,0.3735723687553367,0.11516933312767641,0.35573454173897945,0.601018084270919,1.0774399451423537,0.025667289191504405,-1.4477296312012407,-0.8467630791236607,2.3310198069268457,-0.867027446224327,-0.7785749201506524,0.7363129173557352,1.4706977850004286,-0.1669390797513799,4.124319403525821,4.24402789678503,0.700184444549401,1.574711040644349,1.62349021966227,3.6719998835096543,0.8850262477453303,-0.48585497158572544,0.7793281701886912,1.4103320559583183,0.25893124603661954,0.35832213371147903
"Size of std_values: (1, 40)"

"Time Range: 11:31:23 to 11:32:03, Duration 40.0 
 Start Row 3915, End Row 4075 
 Start Time 978.5, End Time 1018.5"
kurtosis Values:
-0.3989060805333722,-0.3362526891989792,4.274691410897921,9.880118637243845,-0.4311687550146077,-0.4752664240260325,-0.8162117447395674,-0.8339012837117354,0.6647211073685213,0.6235224474815078,-0.451739201719914,-0.9416782815280889,1.1758450033254153,0.5420428535739585,-0.07237519448784502,0.2519957240714392,0.986936178404695,0.6683179046269703,7.231874969001927,0.42645961353098905,-1.0707480440485666,-0.9191779313903914,0.2861506448226354,-0.7600306818258709,0.6919569549749358,1.623367038269846,3.499258806518534,0.4858589699922473,4.0397658115710895,4.452217543592078,1.1113035920531118,1.3904429900898743,-0.10100661837587444,-0.04078712971990184,0.7747902311613215,0.4214589563920619,-0.8375580297937746,-1.7280894787828012,0.13140674964452437,-0.5552238878490625
"Size of std_values: (1, 40)"

"Time Range: 11:32:03 to 11:32:41, Duration 38.0 
 Start Row 4076, End Row 4228 
 Start Time 1018.75, End Time 1056.75"
kurtosis Values:
-0.44837160504857465,-0.41006767542384015,3.522227286355278,0.24458939859245943,-0.3509636307770929,-0.293916910577531,-0.594088416739301,-0.5860459010583727,-0.7016522763693533,-0.6438981427218935,-0.49865976949802837,-0.84409385793073,5.955663747900502,9.223588476821304,0.8611697810735439,0.34905847468129236,4.674677036499038,9.995396163435979,0.2144934937460543,-0.22900738072416305,-1.3595803453110666,-0.8115888641252083,-0.49833243880632283,-0.5569114687660859,6.781735496617523,8.51177420962978,15.56275522563067,35.627488578032555,1.512781248789783,1.793486475620366,5.133691576788271,8.69178813203038,0.2310292537003087,0.3547861666104284,10.665186163817564,1.258665685792149,2.093063337539272,0.39841712627728665,6.623849183332586,0.11632587753572965
"Size of std_values: (1, 40)"

"Time Range: 11:32:41 to 11:33:22, Duration 41.0 
 Start Row 4229, End Row 4393 
 Start Time 1057.0, End Time 1098.0"
kurtosis Values:
-0.906691970435058,-0.887070840313275,-0.8782674733154483,-0.7839761334163047,-0.5599895483927155,-0.5796746266713413,-0.9916531917615554,-0.9877362883123828,0.3651664467611444,1.2428377321385913,-0.406151562634137,-1.064406504391684,0.21133621188654184,-0.019935988752117773,-0.2552282191884845,1.1476191324933556,-0.480920141923058,-0.3275259993785231,0.11909183401024048,-0.01624657601020507,-0.7734333147997505,-1.1343968986397526,0.44951648895872864,-0.23558986744811294,0.4021851609081075,-0.23631791413093373,2.1478823043042343,0.28402687296904006,-0.2543258651204505,0.9281720803154432,-0.6074289540678119,-0.5141967939942029,-0.7507018176433125,-0.8127913890607359,0.24210218158293184,0.7882194330063497,-0.3740648303030212,-0.43507960683512525,1.041349724168544,0.09925497165104158
"Size of std_values: (1, 40)"

"Time Range: 11:33:22 to 11:33:48, Duration 26.0 
 Start Row 4394, End Row 4498 
 Start Time 1098.25, End Time 1124.25"
kurtosis Values:
-1.1064091894082506,-1.1430516322382498,-0.08935584423761389,-1.1546092557487353,-0.7770501183790621,-0.7133853150324518,-1.003189291313062,-0.9947397490213983,1.3322596045205355,0.517551841214527,-0.5230689602333221,-1.2765537919495478,-0.9233039828862051,0.9117758914904734,-0.2705722424942323,-0.4136064702968554,-0.9375226544946735,-0.24140709695562812,-0.4836409184285704,-0.44120403998974567,-1.3902919860787177,-1.1156594335341008,-0.015224359299907508,0.3539951511454982,-0.5987677404462306,0.9549472361409341,1.0362050807193812,-0.05827571574246093,0.24222368101747804,-0.26799929706972403,-0.9591022923536427,-0.24166769725470605,0.23604751936445956,-0.25025604532554224,2.910187512725143,0.7464490532373249,0.1265769437976192,-0.4167016454336414,-0.49495638459428015,-0.12701690828353618
"Size of std_values: (1, 40)"

"Time Range: 11:33:49 to 11:34:22, Duration 33.0 
 Start Row 4499, End Row 4631 
 Start Time 1124.5, End Time 1157.5"
kurtosis Values:
-0.2531441700084982,-0.2861894823450659,1.383806954062142,-0.8529694242969659,-0.5001951993127207,-0.4506479163546082,-0.7359911088860622,-0.7310124183838029,-1.189606157670468,-1.3363212895389387,-0.49255600548626743,-0.9161253041309592,0.8242892631084957,-0.2735308417668638,0.02939435557917447,0.3316388412006006,-0.21447839411179315,2.1792970395385307,0.5961583012710796,-0.14099670930149255,-1.1681609457393491,-0.9630827360711627,-1.0105429263037455,-1.5151885711251023,-0.2467819083233591,0.4593342470902644,3.802642470223839,-0.5671917606042816,33.527432659078684,32.18939687925417,0.9990235718276153,1.3312482848811538,0.14177408716002882,-0.9544871697861228,2.1721701316893487,0.8747369576252817,-0.016200040600449217,-0.8426325367846239,0.8164143218827711,0.0862178589934226
"Size of std_values: (1, 40)"

"Time Range: 11:34:22 to 11:34:54, Duration 32.0 
 Start Row 4632, End Row 4760 
 Start Time 1157.75, End Time 1189.75"
kurtosis Values:
