"Time Range: 10:27:51 to 10:29:16, Duration 85.0 
 Start Row 2586, End Row 2926 
 Start Time 646.25, End Time 731.25"
kurtosis Values:
0.4505141117596958,-0.9886526170353647,3.700887409419404,1.6305760794021804,4.843405906338082,5.4187952596940825,2.946848866115408,-0.4506665470429745,-1.4759214087648362,-1.4250557284766385,-0.7097515112189621,6.053637430873167,3.742970348756785,5.8662525649476684,5.99955981587329,7.1332598121147655,7.512348357988143,2.7064955798182604,10.892244723346773,6.214531137228374,2.3351653798060603,3.5151362384049527,3.5191017071958273,3.0071763911655225,1.0515651218445372,1.2833020947511011,5.80345742840896,6.195181600870686,1.6981909342361563,1.7071435203815835,0.27493546700676497,8.503056773356345,6.513533746103207,6.0079320167845225,16.59277513676783,16.350884859981047,-0.2260219081665764,-1.002905362524068,10.364332018803797,5.535855038766796
"Size of std_values: (1, 40)"

"Time Range: 10:29:16 to 10:30:12, Duration 56.0 
 Start Row 2927, End Row 3151 
 Start Time 731.5, End Time 787.5"
kurtosis Values:
-0.6095714688306231,12.12851400179344,18.17535523398581,27.81596323637869,1.8725155366590291,0.8822773345045372,-1.4704573950172362,-0.6795451345005024,0.4856372479758564,0.2048787781975796,-0.11605729849660351,1.736617563280685,0.3952203840122568,-1.0703457616746326,0.026187091978450372,10.181302519540388,4.147661128736528,4.817192513302749,5.835062731744259,11.048032809424537,-0.16872369314740032,3.420400412215951,-0.6093149960629662,8.693459220447892,-0.8988875869995328,-1.2086291595628382,-1.0249953127900384,-0.8490288295605595,-1.139030739634296,-1.3100281087040084,-0.8740859765979145,-1.1927273348244452,5.301827734738691,7.209562048752083,0.5063202288323492,3.6180103403579835,0.35089213290450516,3.8147346915344356,-0.8269889070301164,6.523831074972527
"Size of std_values: (1, 40)"

"Time Range: 10:30:12 to 10:30:54, Duration 42.0 
 Start Row 3152, End Row 3320 
 Start Time 787.75, End Time 829.75"
kurtosis Values:
-0.8795085550077024,5.899695583257987,4.131068709722186,6.008809263105778,-0.7081542384999997,-0.9159864002417253,-0.7344635523056828,-1.0812216330932547,5.063064245027151,3.9574153085774313,0.6780670178269657,1.6794854453680337,-1.2323234720873977,-0.7778315487519283,-0.8373292003943655,3.686197986658901,1.1509891748236525,1.4132063019345118,-0.5082152796216381,2.6955239053818545,-0.8923745283018203,-0.6238742159888968,-0.634161228433543,0.32795374452711634,-0.6610138741849036,-0.26938406219456335,-1.165275656717709,-1.2181843182623364,-0.8286967324251178,-0.8326727084486589,-0.7439409632107692,-0.24399193449236156,0.7867025110024857,0.3738185745504512,0.6531100204497386,0.6517368297246713,0.29965818371410524,0.6866551424238692,-0.3158228175331699,0.324675519368796
"Size of std_values: (1, 40)"

"Time Range: 10:30:55 to 10:32:14, Duration 79.0 
 Start Row 3321, End Row 3637 
 Start Time 830.0, End Time 909.0"
kurtosis Values:
